Column1,Avg attention,Avg Performance,Column4,Column5,,,
273,0.94,1,FALSE,100,,,
274,0.92,1,FALSE,100,,,
275,0.9,1,FALSE,100,,,
276,0.88,1,FALSE,100,,,
277,0.86,1,FALSE,100,,,
278,0.84,1,FALSE,100,,,
279,0.82,1,FALSE,100,,,
280,0.8,1,FALSE,100,,,
281,0.78,1,FALSE,100,,,
282,0.76,1,FALSE,100,,,
283,0.74,1,FALSE,100,,,
284,0.72,1,FALSE,100,,,
285,0.7,1,FALSE,0,,,
286,0.68,1,FALSE,0,,,
287,0.66,1,FALSE,0,,,
288,0.64,1,FALSE,0,,,
289,0.62,1,FALSE,0,,,
290,0.6,1,FALSE,0,,,
291,0.58,1,FALSE,0,,,
292,0.56,1,FALSE,0,,,
293,0.54,1,FALSE,0,,,
294,0.52,1,FALSE,0,,,
295,0.5,1,FALSE,0,,,
296,0.48,1,FALSE,0,,,
297,0.46,1,FALSE,0,,,
298,0.44,1,FALSE,0,,,
299,0.42,1,FALSE,0,,,
300,0.4,1,TRUE,0,,,
301,0.45,1,TRUE,0,,,
302,0.5,1,TRUE,0,,,
303,0.55,1,TRUE,0,,,
304,0.6,1,TRUE,0,,,
305,0.65,1,TRUE,0,,,
306,0.7,1,TRUE,0,,,
307,0.75,1,TRUE,100,,,
308,0.8,1,TRUE,100,,,
309,0.85,1,TRUE,100,,,
310,0.9,1,TRUE,100,,,
311,0.95,1,TRUE,100,,,
312,1,1,TRUE,100,,,
313,1,1,TRUE,100,,,
314,1,1,TRUE,100,,,
315,1,1,TRUE,100,,,
316,1,1,TRUE,100,,,
317,1,1,TRUE,100,,,
318,1,1,TRUE,100,,,
319,1,1,TRUE,100,,,
320,1,1,TRUE,100,,,
321,1,1,TRUE,100,,,
322,1,1,TRUE,100,,,
323,1,1,TRUE,100,,,
324,1,1,TRUE,100,,,
325,1,1,TRUE,100,,,
326,1,1,TRUE,100,,,
327,1,1,TRUE,100,,,
328,1,1,TRUE,100,,,
329,1,1,TRUE,100,,,
330,1,1,FALSE,100,,,
331,0.98,1,FALSE,100,,,
332,0.96,1,FALSE,100,,,
333,0.94,1,FALSE,100,,,
334,0.92,1,FALSE,100,,,
335,0.9,1,FALSE,100,,,
336,0.88,1,FALSE,100,,,
337,0.86,1,FALSE,100,,,
338,0.84,1,FALSE,100,,,
339,0.82,1,FALSE,100,,,
340,0.8,1,FALSE,100,,,
341,0.78,1,FALSE,100,,,
342,0.76,1,FALSE,100,,,
343,0.74,1,FALSE,100,,,
344,0.72,1,FALSE,100,,,
345,0.7,1,FALSE,0,,,
346,0.68,1,FALSE,0,,,
347,0.66,1,FALSE,0,,,
348,0.64,1,FALSE,0,,,
349,0.62,1,FALSE,0,,,
350,0.6,1,FALSE,0,,,
351,0.58,1,FALSE,0,,,
352,0.56,1,FALSE,0,,,
353,0.54,1,FALSE,0,,,
354,0.52,1,FALSE,0,,,
355,0.5,1,FALSE,0,,,
356,0.48,1,FALSE,0,,,
357,0.46,1,FALSE,0,,,
358,0.44,1,FALSE,0,,,
359,0.42,1,FALSE,0,,,
360,0.4,1,TRUE,0,,,
361,0.45,1,TRUE,0,,,
362,0.5,1,TRUE,0,,,
363,0.55,1,TRUE,0,,,
364,0.6,1,TRUE,0,,,
365,0.65,1,TRUE,0,,,
366,0.7,1,TRUE,0,,,
367,0.75,1,TRUE,100,,,
368,0.8,1,TRUE,100,,,
369,0.85,1,TRUE,100,,,
370,0.9,1,TRUE,100,,,
371,0.95,1,TRUE,100,,,
372,1,1,TRUE,100,,,
373,1,1,TRUE,100,,,
374,1,1,TRUE,100,,,
375,1,1,TRUE,100,,,
376,1,1,TRUE,100,,,
377,1,1,TRUE,100,,,
378,1,1,TRUE,100,,,
379,1,1,TRUE,100,,,
380,1,1,TRUE,100,,,
381,1,1,TRUE,100,,,
382,1,1,TRUE,100,,,
383,1,1,TRUE,100,,,
384,1,1,TRUE,100,,,
385,1,1,TRUE,100,,,
386,1,1,TRUE,100,,,
387,1,1,TRUE,100,,,
388,1,1,TRUE,100,,,
389,1,1,TRUE,100,,,
390,1,1,FALSE,100,,,
391,0.98,1,FALSE,100,,,
392,0.96,1,FALSE,100,,,
393,0.94,1,FALSE,100,,,
394,0.92,1,FALSE,100,,,
395,0.9,1,FALSE,100,,,
396,0.88,1,FALSE,100,,,
397,0.86,1,FALSE,100,,,
398,0.84,1,FALSE,100,,,
399,0.82,1,FALSE,100,,,
400,0.8,1,FALSE,100,,,
401,0.78,1,FALSE,100,,,
402,0.76,1,FALSE,100,,,
403,0.74,1,FALSE,100,,,
404,0.72,1,FALSE,100,,,
405,0.7,1,FALSE,0,,,
406,0.68,1,FALSE,0,,,
407,0.66,1,FALSE,0,,,
408,0.64,1,FALSE,0,,,
409,0.62,1,FALSE,0,,,
410,0.6,1,FALSE,0,,,
411,0.58,1,FALSE,0,,,
412,0.56,1,FALSE,0,,,
413,0.54,1,FALSE,0,,,
414,0.52,1,FALSE,0,,,
415,0.5,1,FALSE,0,,,
416,0.48,1,FALSE,0,,,
417,0.46,1,FALSE,0,,,
418,0.44,1,FALSE,0,,,
419,0.42,1,FALSE,0,,,
420,0.4,1,TRUE,0,,,
421,0.45,1,TRUE,0,,,
422,0.5,1,TRUE,0,,,
423,0.55,1,TRUE,0,,,
424,0.6,1,TRUE,0,,,
425,0.65,1,TRUE,0,,,
426,0.7,1,TRUE,0,,,
427,0.75,1,TRUE,100,,,
428,0.8,1,TRUE,100,,,
429,0.85,1,TRUE,100,,,
430,0.9,1,TRUE,100,,,
431,0.95,1,TRUE,100,,,
432,1,1,TRUE,100,,,
433,1,1,TRUE,100,,,
434,1,1,TRUE,100,,,
435,1,1,TRUE,100,,,
436,1,1,TRUE,100,,,
437,1,1,TRUE,100,,,
438,1,1,TRUE,100,,,
439,1,1,TRUE,100,,,
440,1,1,TRUE,100,,,
441,1,1,TRUE,100,,,
442,1,1,TRUE,100,,,
443,1,1,TRUE,100,,,
444,1,1,TRUE,100,,,
445,1,1,TRUE,100,,,
446,1,1,TRUE,100,,,
447,1,1,TRUE,100,,,
448,1,1,TRUE,100,,,
449,1,1,TRUE,100,,,
450,1,1,FALSE,100,,,
451,0.98,1,FALSE,100,,,
452,0.96,1,FALSE,100,,,
453,0.94,1,FALSE,100,,,
454,0.92,1,FALSE,100,,,
455,0.9,1,FALSE,100,,,
456,0.88,1,FALSE,100,,,
457,0.86,1,FALSE,100,,,
458,0.84,1,FALSE,100,,,
459,0.82,1,FALSE,100,,,
460,0.8,1,FALSE,100,,,
461,0.78,1,FALSE,100,,,
462,0.76,1,FALSE,100,,,
463,0.74,1,FALSE,100,,,
464,0.72,1,FALSE,100,,,
465,0.7,1,FALSE,0,,,
466,0.68,1,FALSE,0,,,
467,0.66,1,FALSE,0,,,
468,0.64,1,FALSE,0,,,
469,0.62,1,FALSE,0,,,
470,0.6,1,FALSE,0,,,
471,0.58,1,FALSE,0,,,
472,0.56,1,FALSE,0,,,
473,0.54,1,FALSE,0,,,
474,0.52,1,FALSE,0,,,
475,0.5,1,FALSE,0,,,
476,0.48,1,FALSE,0,,,
477,0.46,1,FALSE,0,,,
478,0.44,1,FALSE,0,,,
479,0.42,1,FALSE,0,,,
480,0.4,1,TRUE,0,,,
481,0.45,1,TRUE,0,,,
482,0.5,1,TRUE,0,,,
483,0.55,1,TRUE,0,,,
484,0.6,1,TRUE,0,,,
485,0.65,1,TRUE,0,,,
486,0.7,1,TRUE,0,,,
487,0.75,1,TRUE,100,,,
488,0.8,1,TRUE,100,,,
489,0.85,1,TRUE,100,,,
490,0.9,1,TRUE,100,,,
491,0.95,1,TRUE,100,,,
492,1,1,TRUE,100,,,
493,1,1,TRUE,100,,,
494,1,1,TRUE,100,,,
495,1,1,TRUE,100,,,
496,1,1,TRUE,100,,,
497,1,1,TRUE,100,,,
498,1,1,TRUE,100,,,
499,1,1,TRUE,100,,,
500,1,1,TRUE,100,,,
501,1,1,TRUE,100,,,
502,1,1,TRUE,100,,,
503,1,1,TRUE,100,,,
504,1,1,TRUE,100,,,
505,1,1,TRUE,100,,,
506,1,1,TRUE,100,,,
507,1,1,TRUE,100,,,
508,1,1,TRUE,100,,,
509,1,1,TRUE,100,,,
510,1,1,FALSE,100,,,
511,0.98,1,FALSE,100,,,
512,0.96,1,FALSE,100,,,
513,0.94,1,FALSE,100,,,
514,0.92,1,FALSE,100,,,
515,0.9,1,FALSE,100,,,
516,0.88,1,FALSE,100,,,
517,0.86,1,FALSE,100,,,
518,0.84,1,FALSE,100,,,
519,0.82,1,FALSE,100,,,
520,0.8,1,FALSE,100,,,
521,0.78,1,FALSE,100,,,
522,0.76,1,FALSE,100,,,
523,0.74,1,FALSE,100,,,
524,0.72,1,FALSE,100,,,
525,0.7,1,FALSE,0,,,
526,0.68,1,FALSE,0,,,
527,0.66,1,FALSE,0,,,
528,0.64,1,FALSE,0,,,
529,0.62,1,FALSE,0,,,
530,0.6,1,FALSE,0,,,
531,0.58,1,FALSE,0,,,
532,0.56,1,FALSE,0,,,
533,0.54,1,FALSE,0,,,
534,0.52,1,FALSE,0,,,
535,0.5,1,FALSE,0,,,
536,0.48,1,FALSE,0,,,
537,0.46,1,FALSE,0,,,
538,0.44,1,FALSE,0,,,
539,0.42,1,FALSE,0,,,
540,0.4,1,TRUE,0,,,
541,0.45,1,TRUE,0,,,
542,0.5,1,TRUE,0,,,
543,0.55,1,TRUE,0,,,
544,0.6,1,TRUE,0,,,
545,0.65,1,TRUE,0,,,
546,0.7,1,TRUE,0,,,
547,0.75,1,TRUE,100,,,
548,0.8,1,TRUE,100,,,
549,0.85,1,TRUE,100,,,
550,0.9,1,TRUE,100,,,
551,0.95,1,TRUE,100,,,
552,1,1,TRUE,100,,,
553,1,1,TRUE,100,,,
554,1,1,TRUE,100,,,
555,1,1,TRUE,100,,,
556,1,1,TRUE,100,,,
557,1,1,TRUE,100,,,
558,1,1,TRUE,100,,,
559,1,1,TRUE,100,,,
560,1,1,TRUE,100,,,
561,1,1,TRUE,100,,,
562,1,1,TRUE,100,,,
563,1,1,TRUE,100,,,
564,1,1,TRUE,100,,,
565,1,1,TRUE,100,,,
566,1,1,TRUE,100,,,
567,1,1,TRUE,100,,,
568,1,1,TRUE,100,,,
569,1,1,TRUE,100,,,
570,1,1,FALSE,100,,,
571,0.98,1,FALSE,100,,,
572,0.96,1,FALSE,100,,,
573,0.94,1,FALSE,100,,,
574,0.92,1,FALSE,100,,,
575,0.9,1,FALSE,100,,,
576,0.88,1,FALSE,100,,,
577,0.86,1,FALSE,100,,,
578,0.84,1,FALSE,100,,,
579,0.82,1,FALSE,100,,,
580,0.8,1,FALSE,100,,,
581,0.78,1,FALSE,100,,,
582,0.76,1,FALSE,100,,,
583,0.74,1,FALSE,100,,,
584,0.72,1,FALSE,100,,,
585,0.7,1,FALSE,0,,,
586,0.68,1,FALSE,0,,,
587,0.66,1,FALSE,0,,,
588,0.64,1,FALSE,0,,,
589,0.62,1,FALSE,0,,,
590,0.6,1,FALSE,0,,,
591,0.58,1,FALSE,0,,,
592,0.56,1,FALSE,0,,,
593,0.54,1,FALSE,0,,,
594,0.52,1,FALSE,0,,,
595,0.5,1,FALSE,0,,,
596,0.48,1,FALSE,0,,,
597,0.46,1,FALSE,0,,,
598,0.44,1,FALSE,0,,,
599,0.42,1,FALSE,0,,,
600,0.4,1,TRUE,0,,,
601,0.45,1,TRUE,0,,,
602,0.5,1,TRUE,0,,,
603,0.55,1,TRUE,0,,,
604,0.6,1,TRUE,0,,,
605,0.65,1,TRUE,0,,,
606,0.7,1,TRUE,0,,,
607,0.75,1,TRUE,100,,,
608,0.8,1,TRUE,100,,,
609,0.85,1,TRUE,100,,,
610,0.9,1,TRUE,100,,,
611,0.95,1,TRUE,100,,,
612,1,1,TRUE,100,,,
613,1,1,TRUE,100,,,
614,1,1,TRUE,100,,,
615,1,1,TRUE,100,,,
616,1,1,TRUE,100,,,
617,1,1,TRUE,100,,,
618,1,1,TRUE,100,,,
619,1,1,TRUE,100,,,
620,1,1,TRUE,100,,,
621,1,1,TRUE,100,,,
622,1,1,TRUE,100,,,
623,1,1,TRUE,100,,,
624,1,1,TRUE,100,,,
625,1,1,TRUE,100,,,
626,1,1,TRUE,100,,,
627,1,1,TRUE,100,,,
628,1,1,TRUE,100,,,
629,1,1,TRUE,100,,,
630,1,1,FALSE,100,,,
631,0.98,1,FALSE,100,,,
632,0.96,1,FALSE,100,,,
633,0.94,1,FALSE,100,,,
634,0.92,1,FALSE,100,,,
635,0.9,1,FALSE,100,,,
636,0.88,1,FALSE,100,,,
637,0.86,1,FALSE,100,,,
638,0.84,1,FALSE,100,,,
639,0.82,1,FALSE,100,,,
640,0.8,1,FALSE,100,,,
641,0.78,1,FALSE,100,,,
642,0.76,1,FALSE,100,,,
643,0.74,1,FALSE,100,,,
644,0.72,1,FALSE,100,,,
645,0.7,1,FALSE,0,,,
646,0.68,1,FALSE,0,,,
647,0.66,1,FALSE,0,,,
648,0.64,1,FALSE,0,,,
649,0.62,1,FALSE,0,,,
650,0.6,1,FALSE,0,,,
651,0.58,1,FALSE,0,,,
652,0.56,1,FALSE,0,,,
653,0.54,1,FALSE,0,,,
654,0.52,1,FALSE,0,,,
655,0.5,1,FALSE,0,,,
656,0.48,1,FALSE,0,,,
657,0.46,1,FALSE,0,,,
658,0.44,1,FALSE,0,,,
659,0.42,1,FALSE,0,,,
660,0.4,1,TRUE,0,,,
661,0.45,1,TRUE,0,,,
662,0.5,1,TRUE,0,,,
663,0.55,1,TRUE,0,,,
664,0.6,1,TRUE,0,,,
665,0.65,1,TRUE,0,,,
666,0.7,1,TRUE,0,,,
667,0.75,1,TRUE,100,,,
668,0.8,1,TRUE,100,,,
669,0.85,1,TRUE,100,,,
670,0.9,1,TRUE,100,,,
671,0.95,1,TRUE,100,,,
672,1,1,TRUE,100,,,
673,1,1,TRUE,100,,,
674,1,1,TRUE,100,,,
675,1,1,TRUE,100,,,
676,1,1,TRUE,100,,,
677,1,1,TRUE,100,,,
678,1,1,TRUE,100,,,
679,1,1,TRUE,100,,,
680,1,1,TRUE,100,,,
681,1,1,TRUE,100,,,
682,1,1,TRUE,100,,,
683,1,1,TRUE,100,,,
684,1,1,TRUE,100,,,
685,1,1,TRUE,100,,,
686,1,1,TRUE,100,,,
687,1,1,TRUE,100,,,
688,1,1,TRUE,100,,,
689,1,1,TRUE,100,,,
690,1,1,FALSE,100,,,
691,0.98,1,FALSE,100,,,
692,0.96,1,FALSE,100,,,
693,0.94,1,FALSE,100,,,
694,0.92,1,FALSE,100,,,
695,0.9,1,FALSE,100,,,
696,0.88,1,FALSE,100,,,
697,0.86,1,FALSE,100,,,
698,0.84,1,FALSE,100,,,
699,0.82,1,FALSE,100,,,
700,0.8,1,FALSE,100,,,
701,0.78,1,FALSE,100,,,
702,0.76,1,FALSE,100,,,
703,0.74,1,FALSE,100,,,
704,0.72,1,FALSE,100,,,
705,0.7,1,FALSE,0,,,
706,0.68,1,FALSE,0,,,
707,0.66,1,FALSE,0,,,
708,0.64,1,FALSE,0,,,
709,0.62,1,FALSE,0,,,
710,0.6,1,FALSE,0,,,
711,0.58,1,FALSE,0,,,
712,0.56,1,FALSE,0,,,
713,0.54,1,FALSE,0,,,
714,0.52,1,FALSE,0,,,
715,0.5,1,FALSE,0,,,
716,0.48,1,FALSE,0,,,
717,0.46,1,FALSE,0,,,
718,0.44,1,FALSE,0,,,
719,0.42,1,FALSE,0,,,
720,0.4,1,TRUE,0,,,
721,0.45,1,TRUE,0,,,
722,0.5,1,TRUE,0,,,
723,0.55,1,TRUE,0,,,
724,0.6,1,TRUE,0,,,
725,0.65,1,TRUE,0,,,
726,0.7,1,TRUE,0,,,
727,0.75,1,TRUE,100,,,
728,0.8,1,TRUE,100,,,
729,0.85,1,TRUE,100,,,
730,0.9,1,TRUE,100,,,
731,0.95,1,TRUE,100,,,
732,1,1,TRUE,100,,,
733,1,1,TRUE,100,,,
734,1,1,TRUE,100,,,
735,1,1,TRUE,100,,,
736,1,1,TRUE,100,,,
737,1,1,TRUE,100,,,
738,1,1,TRUE,100,,,
739,1,1,TRUE,100,,,
740,1,1,TRUE,100,,,
741,1,1,TRUE,100,,,
742,1,1,TRUE,100,,,
743,1,1,TRUE,100,,,
744,1,1,TRUE,100,,,
745,1,1,TRUE,100,,,
746,1,1,TRUE,100,,,
747,1,1,TRUE,100,,,
748,1,1,TRUE,100,,,
749,1,1,TRUE,100,,,
750,1,1,FALSE,100,,,
751,0.98,1,FALSE,100,,,
752,0.96,1,FALSE,100,,,
753,0.94,1,FALSE,100,,,
754,0.92,1,FALSE,100,,,
755,0.9,1,FALSE,100,,,
756,0.88,1,FALSE,100,,,
757,0.86,1,FALSE,100,,,
758,0.84,1,FALSE,100,,,
759,0.82,1,FALSE,100,,,
760,0.8,1,FALSE,100,,,
761,0.78,1,FALSE,100,,,
762,0.76,1,FALSE,100,,,
763,0.74,1,FALSE,100,,,
764,0.72,1,FALSE,100,,,
765,0.7,1,FALSE,0,,,
766,0.68,1,FALSE,0,,,
767,0.66,1,FALSE,0,,,
768,0.64,1,FALSE,0,,,
769,0.62,1,FALSE,0,,,
770,0.6,1,FALSE,0,,,
771,0.58,1,FALSE,0,,,
772,0.56,1,FALSE,0,,,
773,0.54,1,FALSE,0,,,
774,0.52,1,FALSE,0,,,
775,0.5,1,FALSE,0,,,
776,0.48,1,FALSE,0,,,
777,0.46,1,FALSE,0,,,
778,0.44,1,FALSE,0,,,
779,0.42,1,FALSE,0,,,
780,0.4,1,TRUE,0,,,
781,0.45,1,TRUE,0,,,
782,0.5,1,TRUE,0,,,
