cycle,avg_attention,avg_performance,is_break,high_attention_count,0,,,
224,0.72,1,FALSE,25,,,,
225,0.7,1,FALSE,0,,,,
226,0.68,1,FALSE,0,,,,
227,0.66,1,FALSE,0,,,,
228,0.64,1,FALSE,0,,,,
229,0.62,1,FALSE,0,,,,
230,0.6,1,FALSE,0,,,,
231,0.58,1,FALSE,0,,,,
232,0.56,1,FALSE,0,,,,
233,0.54,1,FALSE,0,,,,
234,0.52,1,FALSE,0,,,,
235,0.5,1,FALSE,0,,,,
236,0.48,1,FALSE,0,,,,
237,0.46,1,FALSE,0,,,,
238,0.44,1,FALSE,0,,,,
239,0.42,1,FALSE,0,,,,
240,0.4,1,TRUE,0,,,,
241,0.45,1,TRUE,0,,,,
242,0.5,1,TRUE,0,,,,
243,0.55,1,TRUE,0,,,,
244,0.6,1,TRUE,0,,,,
245,0.65,1,TRUE,0,,,,
246,0.7,1,TRUE,0,,,,
247,0.75,1,TRUE,25,,,,
248,0.8,1,TRUE,25,,,,
249,0.85,1,TRUE,25,,,,
250,0.9,1,TRUE,25,,,,
251,0.95,1,TRUE,25,,,,
252,1,1,TRUE,25,,,,
253,1,1,TRUE,25,,,,
254,1,1,TRUE,25,,,,
255,1,1,TRUE,25,,,,
256,1,1,TRUE,25,,,,
257,1,1,TRUE,25,,,,
258,1,1,TRUE,25,,,,
259,1,1,TRUE,25,,,,
260,1,1,TRUE,25,,,,
261,1,1,TRUE,25,,,,
262,1,1,TRUE,25,,,,
263,1,1,TRUE,25,,,,
264,1,1,TRUE,25,,,,
265,1,1,TRUE,25,,,,
266,1,1,TRUE,25,,,,
267,1,1,TRUE,25,,,,
268,1,1,TRUE,25,,,,
269,1,1,TRUE,25,,,,
270,1,1,FALSE,25,,,,
271,0.98,1,FALSE,25,,,,
272,0.96,1,FALSE,25,,,,
273,0.94,1,FALSE,25,,,,
274,0.92,1,FALSE,25,,,,
275,0.9,1,FALSE,25,,,,
276,0.88,1,FALSE,25,,,,
277,0.86,1,FALSE,25,,,,
278,0.84,1,FALSE,25,,,,
279,0.82,1,FALSE,25,,,,
280,0.8,1,FALSE,25,,,,
281,0.78,1,FALSE,25,,,,
282,0.76,1,FALSE,25,,,,
283,0.74,1,FALSE,25,,,,
284,0.72,1,FALSE,25,,,,
285,0.7,1,FALSE,0,,,,
286,0.68,1,FALSE,0,,,,
287,0.66,1,FALSE,0,,,,
288,0.64,1,FALSE,0,,,,
289,0.62,1,FALSE,0,,,,
290,0.6,1,FALSE,0,,,,
291,0.58,1,FALSE,0,,,,
292,0.56,1,FALSE,0,,,,
293,0.54,1,FALSE,0,,,,
294,0.52,1,FALSE,0,,,,
295,0.5,1,FALSE,0,,,,
296,0.48,1,FALSE,0,,,,
297,0.46,1,FALSE,0,,,,
298,0.44,1,FALSE,0,,,,
299,0.42,1,FALSE,0,,,,
300,0.4,1,TRUE,0,,,,
301,0.45,1,TRUE,0,,,,
302,0.5,1,TRUE,0,,,,
303,0.55,1,TRUE,0,,,,
304,0.6,1,TRUE,0,,,,
305,0.65,1,TRUE,0,,,,
306,0.7,1,TRUE,0,,,,
307,0.75,1,TRUE,25,,,,
308,0.8,1,TRUE,25,,,,
309,0.85,1,TRUE,25,,,,
310,0.9,1,TRUE,25,,,,
311,0.95,1,TRUE,25,,,,
312,1,1,TRUE,25,,,,
313,1,1,TRUE,25,,,,
314,1,1,TRUE,25,,,,
315,1,1,TRUE,25,,,,
316,1,1,TRUE,25,,,,
317,1,1,TRUE,25,,,,
318,1,1,TRUE,25,,,,
319,1,1,TRUE,25,,,,
320,1,1,TRUE,25,,,,
321,1,1,TRUE,25,,,,
322,1,1,TRUE,25,,,,
323,1,1,TRUE,25,,,,
324,1,1,TRUE,25,,,,
325,1,1,TRUE,25,,,,
326,1,1,TRUE,25,,,,
327,1,1,TRUE,25,,,,
328,1,1,TRUE,25,,,,
329,1,1,TRUE,25,,,,
330,1,1,FALSE,25,,,,
331,0.98,1,FALSE,25,,,,
332,0.96,1,FALSE,25,,,,
333,0.94,1,FALSE,25,,,,
334,0.92,1,FALSE,25,,,,
335,0.9,1,FALSE,25,,,,
336,0.88,1,FALSE,25,,,,
337,0.86,1,FALSE,25,,,,
338,0.84,1,FALSE,25,,,,
339,0.82,1,FALSE,25,,,,
340,0.8,1,FALSE,25,,,,
341,0.78,1,FALSE,25,,,,
342,0.76,1,FALSE,25,,,,
343,0.74,1,FALSE,25,,,,
344,0.72,1,FALSE,25,,,,
345,0.7,1,FALSE,0,,,,
346,0.68,1,FALSE,0,,,,
347,0.66,1,FALSE,0,,,,
348,0.64,1,FALSE,0,,,,
349,0.62,1,FALSE,0,,,,
350,0.6,1,FALSE,0,,,,
351,0.58,1,FALSE,0,,,,
352,0.56,1,FALSE,0,,,,
353,0.54,1,FALSE,0,,,,
354,0.52,1,FALSE,0,,,,
355,0.5,1,FALSE,0,,,,
356,0.48,1,FALSE,0,,,,
357,0.46,1,FALSE,0,,,,
358,0.44,1,FALSE,0,,,,
359,0.42,1,FALSE,0,,,,
360,0.4,1,TRUE,0,,,,
361,0.45,1,TRUE,0,,,,
362,0.5,1,TRUE,0,,,,
363,0.55,1,TRUE,0,,,,
364,0.6,1,TRUE,0,,,,
365,0.65,1,TRUE,0,,,,
366,0.7,1,TRUE,0,,,,
367,0.75,1,TRUE,25,,,,
368,0.8,1,TRUE,25,,,,
369,0.85,1,TRUE,25,,,,
370,0.9,1,TRUE,25,,,,
371,0.95,1,TRUE,25,,,,
372,1,1,TRUE,25,,,,
373,1,1,TRUE,25,,,,
374,1,1,TRUE,25,,,,
375,1,1,TRUE,25,,,,
376,1,1,TRUE,25,,,,
377,1,1,TRUE,25,,,,
378,1,1,TRUE,25,,,,
379,1,1,TRUE,25,,,,
380,1,1,TRUE,25,,,,
381,1,1,TRUE,25,,,,
382,1,1,TRUE,25,,,,
383,1,1,TRUE,25,,,,
384,1,1,TRUE,25,,,,
385,1,1,TRUE,25,,,,
386,1,1,TRUE,25,,,,
387,1,1,TRUE,25,,,,
388,1,1,TRUE,25,,,,
389,1,1,TRUE,25,,,,
390,1,1,FALSE,25,,,,
391,0.98,1,FALSE,25,,,,
392,0.96,1,FALSE,25,,,,
393,0.94,1,FALSE,25,,,,
394,0.92,1,FALSE,25,,,,
395,0.9,1,FALSE,25,,,,
396,0.88,1,FALSE,25,,,,
397,0.86,1,FALSE,25,,,,
398,0.84,1,FALSE,25,,,,
399,0.82,1,FALSE,25,,,,
400,0.8,1,FALSE,25,,,,
401,0.78,1,FALSE,25,,,,
402,0.76,1,FALSE,25,,,,
403,0.74,1,FALSE,25,,,,
404,0.72,1,FALSE,25,,,,
405,0.7,1,FALSE,0,,,,
406,0.68,1,FALSE,0,,,,
407,0.66,1,FALSE,0,,,,
408,0.64,1,FALSE,0,,,,
409,0.62,1,FALSE,0,,,,
410,0.6,1,FALSE,0,,,,
411,0.58,1,FALSE,0,,,,
412,0.56,1,FALSE,0,,,,
413,0.54,1,FALSE,0,,,,
414,0.52,1,FALSE,0,,,,
415,0.5,1,FALSE,0,,,,
416,0.48,1,FALSE,0,,,,
417,0.46,1,FALSE,0,,,,
418,0.44,1,FALSE,0,,,,
419,0.42,1,FALSE,0,,,,
420,0.4,1,TRUE,0,,,,
421,0.45,1,TRUE,0,,,,
422,0.5,1,TRUE,0,,,,
423,0.55,1,TRUE,0,,,,
424,0.6,1,TRUE,0,,,,
425,0.65,1,TRUE,0,,,,
426,0.7,1,TRUE,0,,,,
427,0.75,1,TRUE,25,,,,
428,0.8,1,TRUE,25,,,,
429,0.85,1,TRUE,25,,,,
430,0.9,1,TRUE,25,,,,
431,0.95,1,TRUE,25,,,,
432,1,1,TRUE,25,,,,
433,1,1,TRUE,25,,,,
434,1,1,TRUE,25,,,,
435,1,1,TRUE,25,,,,
436,1,1,TRUE,25,,,,
437,1,1,TRUE,25,,,,
438,1,1,TRUE,25,,,,
439,1,1,TRUE,25,,,,
440,1,1,TRUE,25,,,,
441,1,1,TRUE,25,,,,
442,1,1,TRUE,25,,,,
443,1,1,TRUE,25,,,,
444,1,1,TRUE,25,,,,
445,1,1,TRUE,25,,,,
446,1,1,TRUE,25,,,,
447,1,1,TRUE,25,,,,
448,1,1,TRUE,25,,,,
449,1,1,TRUE,25,,,,
450,1,1,FALSE,25,,,,
451,0.98,1,FALSE,25,,,,
452,0.96,1,FALSE,25,,,,
453,0.94,1,FALSE,25,,,,
454,0.92,1,FALSE,25,,,,
455,0.9,1,FALSE,25,,,,
456,0.88,1,FALSE,25,,,,
457,0.86,1,FALSE,25,,,,
458,0.84,1,FALSE,25,,,,
459,0.82,1,FALSE,25,,,,
460,0.8,1,FALSE,25,,,,
461,0.78,1,FALSE,25,,,,
462,0.76,1,FALSE,25,,,,
463,0.74,1,FALSE,25,,,,
464,0.72,1,FALSE,25,,,,
465,0.7,1,FALSE,0,,,,
466,0.68,1,FALSE,0,,,,
467,0.66,1,FALSE,0,,,,
468,0.64,1,FALSE,0,,,,
469,0.62,1,FALSE,0,,,,
470,0.6,1,FALSE,0,,,,
471,0.58,1,FALSE,0,,,,
472,0.56,1,FALSE,0,,,,
473,0.54,1,FALSE,0,,,,
474,0.52,1,FALSE,0,,,,
475,0.5,1,FALSE,0,,,,
476,0.48,1,FALSE,0,,,,
477,0.46,1,FALSE,0,,,,
478,0.44,1,FALSE,0,,,,
479,0.42,1,FALSE,0,,,,
480,0.4,1,TRUE,0,,,,
481,0.45,1,TRUE,0,,,,
482,0.5,1,TRUE,0,,,,
483,0.55,1,TRUE,0,,,,
484,0.6,1,TRUE,0,,,,
485,0.65,1,TRUE,0,,,,
486,0.7,1,TRUE,0,,,,
487,0.75,1,TRUE,25,,,,
488,0.8,1,TRUE,25,,,,
489,0.85,1,TRUE,25,,,,
490,0.9,1,TRUE,25,,,,
491,0.95,1,TRUE,25,,,,
492,1,1,TRUE,25,,,,
493,1,1,TRUE,25,,,,
494,1,1,TRUE,25,,,,
495,1,1,TRUE,25,,,,
496,1,1,TRUE,25,,,,
497,1,1,TRUE,25,,,,
498,1,1,TRUE,25,,,,
499,1,1,TRUE,25,,,,
500,1,1,TRUE,25,,,,
501,1,1,TRUE,25,,,,
502,1,1,TRUE,25,,,,
503,1,1,TRUE,25,,,,
504,1,1,TRUE,25,,,,
505,1,1,TRUE,25,,,,
506,1,1,TRUE,25,,,,
507,1,1,TRUE,25,,,,
508,1,1,TRUE,25,,,,
509,1,1,TRUE,25,,,,
510,1,1,FALSE,25,,,,
511,0.98,1,FALSE,25,,,,
512,0.96,1,FALSE,25,,,,
513,0.94,1,FALSE,25,,,,
514,0.92,1,FALSE,25,,,,
515,0.9,1,FALSE,25,,,,
516,0.88,1,FALSE,25,,,,
517,0.86,1,FALSE,25,,,,
518,0.84,1,FALSE,25,,,,
519,0.82,1,FALSE,25,,,,
520,0.8,1,FALSE,25,,,,
521,0.78,1,FALSE,25,,,,
522,0.76,1,FALSE,25,,,,
523,0.74,1,FALSE,25,,,,
524,0.72,1,FALSE,25,,,,
525,0.7,1,FALSE,0,,,,
526,0.68,1,FALSE,0,,,,
